거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd,지역,지역코드
2021-11-20,산척동,744,그린힐 반도유보라 아이비파크 10(1단지),59.7731,5,59250,2018,,경기 화성시,,,,,41590-1763,744,0,,,중개거래,1,N,,동탄순환대로12길,85,0,4852372,0,41590,0.0,41597,11000,화성시,41597
2021-11-20,영천동,716,동탄역반도유보라아이비파크2.0,84.9921,14,74000,2016,,경기 화성시,,,,,41590-1438,716,0,,,중개거래,1,N,,동탄순환대로26길,55,0,4852383,1,41590,,41597,10600,화성시,41597
2021-11-19,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,76.78,11,73000,2007,,경기 화성시,,,,,41590-973,80,0,,,중개거래,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-11-18,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,21,67500,2007,,경기 화성시,,,,,41590-973,80,0,,,중개거래,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-11-15,오산동,972,동탄역 반도유보라 아이비파크6.0,96.8094,10,139800,2017,,경기 화성시,,,,,41590-1620,972,0,,,중개거래,1,N,,동탄기흥로,479,12,3012058,2,41590,0.0,41597,10400,화성시,41597
2021-11-15,반송동,106-1,동탄파라곤II,115.63,32,78500,2010,,경기 화성시,,,,,41590-1132,106,1,,,중개거래,1,N,,메타폴리스로,54,0,3210037,1,41590,0.0,41597,10200,화성시,41597
2021-11-15,신흥동,6951,산성역포레스티아,74.98,3,56010,2020,,,,,,,41131-1652,6951,0,,,직거래,1,N,,수정로,319,0,3178018,1,41131,0.0,41131,10100,성남시 수정구,41131
2021-11-14,일원동,743,디에이치자이개포,84.73,18,295000,2021,,서울 강남구 서울 서초구,,,,,11680-4988,743,0,,,중개거래,1,N,,영동대로,22,0,2122002,5,11680,0.0,11680,11400,서울 강남구,11680
2021-11-14,장지동,1009,레이크반도유보라아이비파크9.0,101.998,17,86000,2017,,경기 화성시,,,,,41590-1719,1009,0,,,중개거래,1,N,,동탄대로4길,95,0,4852335,0,41590,0.0,41597,11100,화성시,41597
2021-11-13,잠실동,19,잠실엘스,84.8,13,262500,2008,,서울 강남구 서울 송파구,,,,,11710-6346,19,0,,,중개거래,1,N,,올림픽로,99,0,3123023,1,11710,0.0,11710,10100,서울 송파구,11710
2021-11-13,오산동,988,동탄역 반도유보라 아이비파크5.0,84.9739,16,116300,2017,,경기 화성시,,,,,41590-1619,988,0,,,중개거래,1,N,,동탄기흥로,393,15,3012058,0,41590,0.0,41597,10400,화성시,41597
2021-11-13,산척동,744,그린힐 반도유보라 아이비파크 10(1단지),74.1263,12,60000,2018,,경기 화성시,,,,,41590-1763,744,0,,,중개거래,1,N,,동탄순환대로12길,85,0,4852372,0,41590,0.0,41597,11000,화성시,41597
2021-11-13,오산동,1044,반도유보라아이비파크3,59.987,20,73000,2016,,경기 화성시,,,,,41590-1498,1044,0,,,중개거래,1,N,,동탄대로12길,17,0,4852346,0,41590,0.0,41597,10400,화성시,41597
2021-11-12,대치동,1027,래미안대치팰리스,94.49,15,385000,2015,,서울 강남구,,,,,11680-4394,1027,0,,,중개거래,1,N,,삼성로51길,37,0,4166413,0,11680,,11680,10600,서울 강남구,11680
2021-11-11,산척동,745,레이크힐 반도유보라 아이비파크 10.2,84.9991,2,56900,2018,,경기 화성시,,,,,41590-1814,745,0,,,중개거래,1,N,,동탄순환대로10길,88,0,4852370,1,41590,,41597,11000,화성시,41597
2021-11-11,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,76.0,23,74700,2007,,경기 안양동안구 경기 화성시,,,,,41590-973,80,0,,,중개거래,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-11-11,산척동,744,그린힐 반도유보라 아이비파크 10(1단지),59.7731,5,47000,2018,,경기 화성시,,,,,41590-1763,744,0,,,중개거래,1,N,,동탄순환대로12길,85,0,4852372,0,41590,0.0,41597,11000,화성시,41597
2021-11-11,잠실동,35,트리지움,84.95,11,242000,2007,,서울 송파구,,,,,11710-6028,35,0,,,중개거래,1,N,,잠실로,62,0,3123015,1,11710,0.0,11710,10100,서울 송파구,11710
2021-11-10,반송동,79,시범다은마을우남퍼스트빌,67.0661,14,65000,2007,,경기 화성시,,,,,41590-966,79,0,,,중개거래,1,N,,동탄중앙로,171,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-11-10,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,84.65,15,86000,2007,,경기 화성시,,,,,41590-973,80,0,,,중개거래,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-11-10,오산동,1044,반도유보라아이비파크3,59.987,16,72000,2016,,경기 화성시,,,,,41590-1498,1044,0,,,중개거래,1,N,,동탄대로12길,17,0,4852346,0,41590,0.0,41597,10400,화성시,41597
2021-11-10,산척동,744,그린힐 반도유보라 아이비파크 10(1단지),74.1263,6,58000,2018,,경기 화성시,,,,,41590-1763,744,0,,,중개거래,1,N,,동탄순환대로12길,85,0,4852372,0,41590,0.0,41597,11000,화성시,41597
2021-11-10,잠실동,35,트리지움,84.95,11,242000,2007,,서울 송파구,,,,,11710-6028,35,0,22.01.15,O,중개거래,1,N,,잠실로,62,0,3123015,1,11710,0.0,11710,10100,서울 송파구,11710
2021-11-09,일원동,743,디에이치자이개포,118.68,5,310000,2021,,경기 성남수정구 서울 강남구,,,,,11680-4988,743,0,,,중개거래,1,N,,영동대로,22,0,2122002,5,11680,0.0,11680,11400,서울 강남구,11680
2021-11-08,청계동,512,동탄역 시범우남퍼스트빌아파트,59.95,4,98000,2015,,경기 화성시,,,,,41590-1342,512,0,,,중개거래,1,N,,동탄대로시범길,276,0,4852353,0,41590,0.0,41597,10500,화성시,41597
2021-11-08,오산동,988,동탄역 반도유보라 아이비파크5.0,59.9206,24,87000,2017,,경기 화성시,,,,,41590-1619,988,0,,,중개거래,1,N,,동탄기흥로,393,15,3012058,0,41590,0.0,41597,10400,화성시,41597
2021-11-08,잠실동,44,레이크팰리스,84.82,18,248000,2006,,서울 송파구,,,,,11710-5957,44,0,,,중개거래,1,N,,잠실로,88,0,3123015,1,11710,0.0,11710,10100,서울 송파구,11710
2021-11-07,일원동,743,디에이치자이개포,84.94,29,310000,2021,,"대구 동구, 서울 강남구",,,,,11680-4988,743,0,22.02.03,O,중개거래,1,N,,영동대로,22,0,2122002,5,11680,0.0,11680,11400,서울 강남구,11680
2021-11-06,장지동,1009,레이크반도유보라아이비파크9.0,104.3613,1,103000,2017,,경기 화성시,,,,,41590-1719,1009,0,,,중개거래,1,N,,동탄대로4길,95,0,4852335,0,41590,0.0,41597,11100,화성시,41597
2021-11-06,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,76.78,18,77000,2007,,경기 화성시,,,,,41590-973,80,0,,,중개거래,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-11-06,개포동,1281,디에이치아너힐즈,84.6348,16,312000,2019,,서울 강남구 서울 서초구,,,,,11680-4850,1281,0,,,중개거래,1,N,,삼성로,11,0,3122005,1,11680,,11680,10300,서울 강남구,11680
