지역,지역코드,거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd
성남시 수정구,41131,2026-07-27,신흥동,6961,산성역자이푸르지오1단지,59.97,2,130000,2024,,경기 성남시 수정구,,개인,개인,,41131-1710,6961,0000,,,중개거래,1,N,,수정로,00260,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-07-27,태평동,7288-11,주민태평동락커뮤니티,16.81,7,10000,2013,,경기 성남시 중원구,,개인,개인,1,41131-1451,7288,0011,,,중개거래,1,N,26.08.14,수정북로,00092,00000,3178019,01,41131,0,41131,10200
성남시 수정구,41131,2026-07-27,신흥동,6961,산성역자이푸르지오1단지,59.98,13,128500,2024,,경기 성남시 수정구,,개인,개인,,41131-1710,6961,0000,,,중개거래,1,N,,수정로,00260,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-07-27,신흥동,6963,산성역자이푸르지오2단지,74.96,10,142000,2024,,경기 성남시 수정구,,개인,개인,,41131-1711,6963,0000,,,중개거래,1,N,,수정로,00288,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-07-27,수진동,3379,현대,59.94,5,72000,1994,,경기 성남시 수정구,,개인,개인,,41131-15,3379,0000,,,중개거래,1,N,,제일로147번길,00004,00000,4334516,01,41131,0,41131,10300
성남시 수정구,41131,2026-07-27,신흥동,6961,산성역자이푸르지오1단지,74.96,9,137000,2024,,경기 성남시 수정구,,개인,개인,,41131-1710,6961,0000,,,중개거래,1,N,,수정로,00260,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-07-27,신흥동,6961,산성역자이푸르지오1단지,74.96,29,140500,2024,,경기 성남시 수정구,,개인,개인,,41131-1710,6961,0000,,,중개거래,1,N,,수정로,00260,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-07-27,수진동,4663,삼부,134.97,5,111000,1996,,경기 성남시 수정구,,개인,개인,,41131-13,4663,0000,,,중개거래,1,N,,모란로,00065,00000,3178010,02,41131,0,41131,10300
성남시 수정구,41131,2026-07-27,신흥동,2463-1,한신,60.48,10,80000,1990,,경기 성남시 수정구,,개인,개인,,41131-5,2463,0001,,,중개거래,1,N,,산성대로,00341,00000,2179002,01,41131,0,41131,10100
성남시 수정구,41131,2026-07-26,태평동,7346,가천대역두산위브,59.9592,13,85000,2018,,경기 성남시 수정구,,개인,개인,,41131-1624,7346,0000,,,중개거래,1,N,,태평로,00065,00000,3178032,00,41131,0,41131,10200
성남시 수정구,41131,2026-07-26,신흥동,6971,산성역자이푸르지오3단지,74.92,23,140000,2024,,경기 성남시 수정구,,개인,개인,,41131-1713,6971,0000,,,중개거래,1,N,,희망로,00531,00000,3179026,00,41131,,41131,10100
성남시 수정구,41131,2026-07-26,수진동,4663,삼부,59.76,3,85000,1996,,경기 성남시 수정구,,개인,개인,,41131-13,4663,0000,,,중개거래,1,N,,모란로,00065,00000,3178010,02,41131,0,41131,10300
성남시 수정구,41131,2026-07-25,신흥동,6971,산성역자이푸르지오3단지,84.93,11,150000,2024,,경기 성남시 수정구,,개인,개인,,41131-1713,6971,0000,,,중개거래,1,N,,희망로,00531,00000,3179026,00,41131,,41131,10100
성남시 수정구,41131,2026-07-25,단대동,127,희망,75.24,2,44800,1984,,경기 성남시 수정구,,개인,개인,,41131-44,0127,0000,,,중개거래,1,N,,희망로506번길,00013,00000,4334607,01,41131,0,41131,10400
성남시 수정구,41131,2026-07-25,창곡동,567,위례 래미안이편한세상,84.98,8,201800,2016,,경기 성남시 수정구,,개인,개인,,41131-1520,0567,0000,,,중개거래,1,N,,위례동로,00061,00000,3202060,01,41131,,41131,10800
성남시 수정구,41131,2026-07-25,신흥동,6961,산성역자이푸르지오1단지,59.98,27,133000,2024,,"경기 성남시 수정구, 경기 성남시 중원구",,개인,개인,,41131-1710,6961,0000,,,중개거래,1,N,,수정로,00260,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-07-25,단대동,124,진로,59.97,8,76000,1998,,경기 성남시 수정구,,개인,개인,,41131-19,0124,0000,,,중개거래,1,N,,단대로23번길,00032,00000,4334123,01,41131,0,41131,10400
